GRPUSRCODE,USERCODE,USERBLOKIMAGE,GROUPBLOKIMAGE
ZH001407,SNURMOHA,False,True
ZH001407,SOERS,False,True
ZH001407,SOGILVIE,False,True
ZH001407,SPHILIPP,False,True
ZH001407,SPLAATS,False,True
ZH001407,SPLOEG,False,True
ZH001407,SPOL3,False,True
ZH001407,SPOOL,False,True
ZH001407,SPOUW,False,True
ZH001407,SRAAFF,False,True
ZH001407,00000276,False,True
ZH001407,SRAMSOEK,False,True
ZH001407,SREINHAR,False,True
ZH001407,SRHEENE3,False,True
ZH001407,00000231,False,True
ZH001407,SRUIJS,False,True
ZH001407,SRUNIA,False,True
ZH001407,SRUTTEN,False,True
ZH001407,SSAGE2,False,True
ZH001407,SSCHELLA,False,True
ZH001407,SSCHIPP3,False,True
ZH001407,SSCHOOTE,False,True
ZH001407,SSIEGER3,False,True
ZH001407,SSNIJDE2,False,True
ZH001407,SSNIJDER,False,True
ZH001407,SSPRUIJ2,False,True
ZH001407,00000316,False,True
ZH001407,SSTOUTJ3,False,True
ZH001407,STAN3,False,True
ZH001407,STEMPEL,False,True
ZH001407,STRUIJE4,False,True
ZH001407,STUIJL,False,True
ZH000825,BSNELDER,True,False
ZH000825,CSTOUTJE,True,False
ZH000825,CVEEN2,True,False
ZH000825,DFILEMON,True,False
ZH000825,DLEEST2,True,False
ZH000825,DOOSTROM,True,False
ZH000825,FSIJTSM2,True,False
ZH000825,FVERKAA2,False,False
ZH000825,ZH000278,True,False
ZH000825,HWIJK,True,False
ZH000825,JBRUIJN3,False,False
ZH000825,JCAPPELL,True,False
ZH000825,JLEUSEN2,True,False
ZH000825,JMEEUWS4,True,False
ZH000825,JPRONK2,True,False
ZH000825,LDUIM,True,False
ZH000825,MAAFTINK,True,False
ZH000825,MGOBEL,False,False
ZH000825,MHAGENZI,False,False
ZH000825,MJORDAA2,False,False
ZH000825,MWIJK3,True,False
ZH000825,SVLEUGEL,True,False
ZH001895,EKOUWEN,False,False
ZH001895,JLISSENB,False,False
ZH001895,JNOORT,False,False
ZH001895,JPOT4,False,False
ZH001895,KRUTJENS,False,False
ZH001895,LPRINS2,False,False
ZH001895,MHAFKAM3,False,False
ZH001895,MSCHELH2,False,False
ZH001895,SVAARTJE,False,False
ZH001896,ELEER,True,False
ZH001308,CASSENBE,False,False
ZH001308,HROHOF,True,False
ZH000782,SBERKHOF,True,False
